Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume
Date,,,,,
2019-12-02,64.48671850317801,64.7231748776426,63.56503713548094,63.73634338378906,94487200
2019-12-03,62.32487921217893,62.619240365203154,61.83749749069341,62.59994125366211,114430400
2019-12-04,62.99082797053731,63.531291583938795,62.896725450383755,63.15248107910156,67181600
2019-12-05,63.64708709192012,64.15377524171508,63.391331548709125,64.07897186279297,74424400
2019-12-06,64.53739914538396,65.38669975339957,64.49396326902664,65.31672668457031,106075600
2019-12-09,65.14544297190798,65.33846356133417,63.91733161576993,64.40230560302734,128042400
2019-12-10,64.80765413470544,65.16233517909905,64.1465435122952,64.77870178222656,90420400
2019-12-11,64.85831695707625,65.41084886210179,64.7835209297938,65.33122253417969,78756800
2019-12-12,64.60978960566402,65.76310470333209,64.49880315683109,65.49769592285156,137310400
2019-12-13,65.49770935611971,66.42422144624238,65.36983155792407,66.38803100585938,133587600
2019-12-16,66.8343739763318,67.74882469281124,66.82955104053698,67.52442932128906,128186000
2019-12-17,67.45447647762181,67.98528668341874,67.26868664682006,67.65715026855469,114158400
2019-12-18,67.50997483252102,68.01666305761623,67.34590660367515,67.49549865722656,116028400
2019-12-19,67.43759430484558,67.84294194171301,67.3048935762057,67.56305694580078,98369200
2019-12-20,68.09628249807736,68.19761571489019,67.21078392805164,67.42311096191406,275978000
2019-12-23,67.68611371554155,68.58367343016074,67.64750812570958,68.52335357666016,98572000
2019-12-24,68.68984157708908,68.7381004084377,68.26277963638277,68.5885009765625,48478800
2019-12-26,68.72117657918585,69.96617873386037,68.69222423937535,69.94928741455078,93121200
2019-12-27,70.24125055231326,70.92889824450315,69.51741242648437,69.92276000976562,146266000
2019-12-30,69.84073357609194,70.62006869460002,68.81771126880989,70.3377685546875,144114400
